,종목코드,한글 종목명,상장일,시장구분,종목명,업종명,시가총액
0,098120.KQ,(주)마이크로컨텍솔루션,2008-09-23,KOSDAQ,마이크로컨텍솔,반도체,45803340660.0
1,009520.KQ,(주)포스코엠텍,1997-11-10,KOSDAQ,포스코엠텍,금속,452656181610.0
2,095570.KS,AJ네트웍스보통주,2015-08-21,KOSPI,AJ네트웍스,서비스업,234579697950.0
3,006840.KS,AK홀딩스보통주,1999-08-11,KOSPI,AK홀딩스,기타금융,204674817450.0
4,282330.KS,BGF리테일보통주,2017-12-08,KOSPI,BGF리테일,유통업,3099004345800.0
5,027410.KS,BGF보통주,2014-05-19,KOSPI,BGF,기타금융,399617602425.0
6,138930.KS,BNK금융지주보통주,2011-03-30,KOSPI,BNK금융지주,기타금융,2024057877660.0
7,001465.KS,BYC1우선주,1989-09-05,KOSPI,BYC우,섬유의복,34332369000.0
8,001460.KS,BYC보통주,1975-06-02,KOSPI,BYC,섬유의복,295755202500.0
9,001045.KS,CJ1우선주,1989-08-18,KOSPI,CJ우,기타금융,113463194600.0
10,00104K.KS,CJ4우선주(전환),2019-08-09,KOSPI,CJ4우(전환),기타금융,330513238400.0
11,001040.KS,CJ보통주,1973-06-29,KOSPI,CJ,기타금융,2722213913400.0
12,011155.KS,CJ씨푸드1우선주,1990-01-13,KOSPI,CJ씨푸드1우,음식료품,4950000000.0
13,011150.KS,CJ씨푸드보통주,1988-11-26,KOSPI,CJ씨푸드,음식료품,110487126975.0
14,058820.KQ,CMG제약,2001-08-31,KOSDAQ,CMG제약,제약,279173410440.0
15,000590.KS,CS홀딩스보통주,1975-12-22,KOSPI,CS홀딩스,기타금융,71462435800.0
16,012030.KS,DB Inc.보통주,1993-01-06,KOSPI,DB,서비스업,291702202850.0
17,016610.KS,DB금융투자보통주,1988-06-27,KOSPI,DB금융투자,증권,169785556000.0
18,005830.KS,DB손해보험보통주,1973-06-28,KOSPI,DB손해보험,보험,5274600000000.0
19,000995.KS,DB하이텍1우선주,2007-05-21,KOSPI,DB하이텍1우,전기전자,10456619600.0
20,000990.KS,DB하이텍보통주,1975-12-12,KOSPI,DB하이텍,전기전자,2004596248200.0
21,139130.KS,DGB금융지주보통주,2011-06-07,KOSPI,DGB금융지주,기타금융,1212775622610.0
22,001530.KS,DI동일보통주,1964-01-04,KOSPI,DI동일,유통업,618752134000.0
23,000215.KS,DL1우선주,1989-08-21,KOSPI,DL우,기타금융,51932342000.0
24,001880.KS,DL건설보통주,1977-12-22,KOSPI,DL건설,건설업,308966508840.0
25,000210.KS,DL보통주,1976-02-02,KOSPI,DL,기타금융,1104375086800.0
26,37550K.KS,DL이앤씨1우선주,2021-01-25,KOSPI,DL이앤씨우,건설업,42002894950.0
27,37550L.KS,DL이앤씨2우선주(전환),2022-04-28,KOSPI,DL이앤씨2우(전환),건설업,47518897500.0
28,375500.KS,DL이앤씨보통주,2021-01-25,KOSPI,DL이앤씨,건설업,1230457211400.0
29,155660.KS,DSR보통주,2013-05-15,KOSPI,DSR,철강금속,85120000000.0
30,069730.KS,DSR제강보통주,2003-01-28,KOSPI,DSR제강,철강금속,75168000000.0
31,017940.KS,E1보통주,1997-08-27,KOSPI,E1,유통업,317618000000.0
32,365550.KS,ESR켄달스퀘어리츠보통주,2020-12-23,KOSPI,ESR켄달스퀘어리츠,서비스업,800149195000.0
33,050120.KQ,ES큐브,2002-04-25,KOSDAQ,ES큐브,유통,54188523570.0
34,383220.KS,F&F보통주,2021-05-21,KOSPI,F&F,섬유의복,5152301587500.0
35,007700.KS,F&F홀딩스,1984-10-04,KOSPI,F&F홀딩스,기타금융,921143342850.0
36,078935.KS,GS1우선주,2004-08-05,KOSPI,GS우,기타금융,61308773100.0
37,006360.KS,GS건설보통주,1981-08-03,KOSPI,GS건설,건설업,1801490364500.0
38,078930.KS,GS보통주,2004-08-05,KOSPI,GS,기타금융,3646928586500.0
39,012630.KS,HDC보통주,1996-10-16,KOSPI,HDC,기타금융,385334100450.0
40,294870.KS,HDC현대산업개발보통주,2018-06-12,KOSPI,HDC현대산업개발,건설업,723003410100.0
41,097230.KS,HJ중공업보통주,2007-08-31,KOSPI,HJ중공업,건설업,303951125650.0
42,014790.KS,HL D&I보통주,1994-08-12,KOSPI,HL D&I,건설업,94078623485.0
43,204320.KS,HL만도보통주,2014-10-06,KOSPI,HL만도,운수장비,2122461824000.0
44,060980.KS,HL홀딩스보통주,2010-05-19,KOSPI,HL홀딩스,기타금융,332488222500.0
45,003560.KS,IHQ보통주,1973-12-18,KOSPI,IHQ,서비스업,57666364224.0
46,175330.KS,JB금융지주보통주,2013-07-18,KOSPI,JB금융지주,기타금융,1751177927660.0
47,234080.KS,JW생명과학보통주,2016-10-27,KOSPI,JW생명과학,의약품,180672261140.0
48,001065.KS,JW중외제약1우선주,1994-10-21,KOSPI,JW중외제약우,의약품,10046456750.0
49,001067.KS,JW중외제약2우선주(신형),1998-04-13,KOSPI,JW중외제약2우B,의약품,11940000000.0
50,001060.KS,JW중외제약보통주,1976-06-14,KOSPI,JW중외제약,의약품,417613265230.0
51,096760.KS,JW홀딩스 보통주,2007-07-31,KOSPI,JW홀딩스,기타금융,203585200340.0
52,105560.KS,KB금융지주 보통주,2008-10-10,KOSPI,KB금융,기타금융,19790618091200.0
53,432320.KS,KB스타리츠보통주,2022-10-06,KOSPI,KB스타리츠,서비스업,450786496825.0
54,024120.KQ,KB오토시스,1994-12-07,KOSDAQ,KB오토시스,운송장비·부품,45885000000.0
55,009070.KS,KCTC 보통주,1978-09-29,KOSPI,KCTC,운수창고업,124500000000.0
56,044180.KQ,KD,2000-11-16,KOSDAQ,KD,건설,16424951701.0
57,016380.KS,KG스틸보통주,1986-02-03,KOSPI,KG스틸,철강금속,849075535530.0
58,001390.KS,KG케미칼보통주,1989-08-25,KOSPI,KG케미칼,화학,406276612800.0
59,033180.KS,KH 필룩스보통주,2001-12-26,KOSPI,KH 필룩스,전기전자,77620051806.0
60,001940.KS,KISCO홀딩스보통주,1989-11-13,KOSPI,KISCO홀딩스,철강금속,336468704000.0
61,025000.KS,KPX케미칼보통주,1994-12-27,KOSPI,KPX케미칼,화학,228448000000.0
62,092230.KS,KPX홀딩스보통주,2006-10-12,KOSPI,KPX홀딩스,화학,217569269000.0
63,000040.KS,KR모터스보통주,1976-05-25,KOSPI,KR모터스,운수장비,43262309250.0
64,093050.KS,LF보통주,2006-12-01,KOSPI,LF,섬유의복,499126800000.0
65,003555.KS,LG1우선주,1988-11-18,KOSPI,LG우,기타금융,183412334000.0
66,034220.KS,LG디스플레이보통주,2004-07-23,KOSPI,LG디스플레이,전기전자,5088139254000.0
67,003550.KS,LG보통주,1970-02-13,KOSPI,LG,기타금융,13417774702900.0
68,051905.KS,LG생활건강1우선주,2001-04-25,KOSPI,LG생활건강우,화학,532273189500.0
69,051900.KS,LG생활건강보통주,2001-04-25,KOSPI,LG생활건강,화학,9214736230000.0
70,373220.KS,LG에너지솔루션보통주,2022-01-27,KOSPI,LG에너지솔루션,전기전자,128232000000000.0
71,032640.KS,LG유플러스보통주,2008-04-21,KOSPI,LG유플러스,통신업,4693572130750.0
72,011070.KS,LG이노텍보통주,2008-07-24,KOSPI,LG이노텍,전기전자,6058779392000.0
73,066575.KS,LG전자1우선주,2002-04-22,KOSPI,LG전자우,전기전자,818053219200.0
74,066570.KS,LG전자보통주,2002-04-22,KOSPI,LG전자,전기전자,18295825605200.0
75,051915.KS,LG화학1우선주,2001-04-25,KOSPI,LG화학우,화학,2279729200000.0
76,051910.KS,LG화학보통주,2001-04-25,KOSPI,LG화학,화학,49767601815000.0
77,079550.KS,LIG넥스원보통주,2015-10-02,KOSPI,LIG넥스원,기계,1498200000000.0
78,010120.KS,LS ELECTRIC보통주,1994-07-11,KOSPI,LS ELECTRIC,전기전자,1581000000000.0
79,000680.KS,LS네트웍스보통주,1973-11-15,KOSPI,LS네트웍스,유통업,181640951880.0
80,006260.KS,LS보통주,1977-06-30,KOSPI,LS,기타금융,2144520000000.0
81,108320.KS,LX세미콘보통주,2022-11-03,KOSPI,LX세미콘,전기전자,1428005540000.0
82,001120.KS,LX인터내셔널보통주,1976-01-30,KOSPI,LX인터내셔널,유통업,1110474000000.0
83,086960.KQ,MDS테크,2006-09-26,KOSDAQ,MDS테크,소프트웨어,246292881120.0
84,023150.KS,MH에탄올보통주,1996-12-24,KOSPI,MH에탄올,음식료품,52166178820.0
85,035420.KS,NAVER보통주,2008-11-28,KOSPI,NAVER,서비스업,32153620660000.0
86,181710.KS,NHN보통주,2013-08-29,KOSPI,NHN,서비스업,929243708400.0
87,338100.KS,NH프라임리츠보통주,2019-12-05,KOSPI,NH프라임리츠,서비스업,78558600000.0
88,034310.KS,NICE보통주,2004-02-04,KOSPI,NICE,서비스업,494364015000.0
89,008260.KS,NI스틸보통주,1975-06-28,KOSPI,NI스틸,철강금속,160446656370.0
90,004255.KS,NPC1우선주,1990-01-15,KOSPI,NPC우,화학,18770400000.0
91,004250.KS,NPC보통주,1969-09-08,KOSPI,NPC,화학,268056000000.0
92,010060.KS,OCI보통주,1985-07-09,KOSPI,OCI,화학,2170292761000.0
93,010955.KS,S-Oil1우선주,1992-05-28,KOSPI,S-Oil우,화학,198281001100.0
94,010950.KS,S-Oil보통주,1987-05-27,KOSPI,S-Oil,화학,8916557126400.0
95,950110.KQ,SBI핀테크솔루션즈,2012-12-17,KOSDAQ,SBI핀테크솔루션즈,출판·매체복제,117857446000.0
96,005090.KS,SGC에너지보통주,1993-01-06,KOSPI,SGC에너지,전기가스업,431503917600.0
97,001380.KS,SG글로벌보통주,1976-06-29,KOSPI,SG글로벌,운수장비,56609856037.0
98,001770.KS,SHD보통주,1988-11-23,KOSPI,SHD,철강금속,38207913100.0
99,002360.KS,SH에너지화학보통주,1985-12-23,KOSPI,SH에너지화학,화학,86573175670.0
100,009160.KS,SIMPAC보통주,1989-07-29,KOSPI,SIMPAC,철강금속,329110465480.0
101,123700.KS,SJM보통주,2010-05-31,KOSPI,SJM,운수장비,63043787920.0
102,025530.KS,SJM홀딩스보통주,1997-02-12,KOSPI,SJM홀딩스,유통업,45548724400.0
103,03473K.KS,SK1우선주,2015-08-17,KOSPI,SK우,기타금융,85542998500.0
