,symbol_id,country,industry,sector,phone,website
0,095570.KS,South Korea,Rental & Leasing Services,Industrials,82 2 6363 9999,https://www.ajurental.com
1,006840.KS,South Korea,Chemicals,Basic Materials,82 2 768 2923,https://www.aekyunggroup.co.kr
2,282330.KS,South Korea,Grocery Stores,Consumer Defensive,82 1 577 8007,https://www.bgfretail.com
3,027410.KS,South Korea,Department Stores,Consumer Cyclical,82 1 577 3663,https://www.bgf.co.kr
4,138930.KS,South Korea,Banks—Regional,Financial Services,82 5 1620 3000,https://www.bnkfg.com
5,001465.KS,South Korea,Apparel Manufacturing,Consumer Cyclical,82 2 840 3114,https://home.byc.co.kr
6,001460.KS,South Korea,Apparel Manufacturing,Consumer Cyclical,82 2 840 3114,https://home.byc.co.kr
7,001045.KS,South Korea,Conglomerates,Industrials,82 2 726 8114,https://www.cj.net
8,00104K.KS,South Korea,Conglomerates,Industrials,82 2 726 8114,https://www.cj.net
9,001040.KS,South Korea,Conglomerates,Industrials,82 2 726 8114,https://www.cj.net
10,011155.KS,South Korea,Packaged Foods,Consumer Defensive,82 3 1730 9114,https://www.cjseafood.net
11,011150.KS,South Korea,Packaged Foods,Consumer Defensive,82 3 1730 9114,https://www.cjseafood.net
12,000590.KS,South Korea,Tools & Accessories,Industrials,82 5 4285 8221,https://www.chosunwelding.com/en
13,012030.KS,South Korea,Information Technology Services,Technology,82 2 2136 6000,https://eng.dbinc.co.kr
14,016610.KS,South Korea,Capital Markets,Financial Services,82 2 369 3000,https://www.db-fi.com
15,005830.KS,South Korea,Insurance—Property & Casualty,Financial Services,None,https://www.idbins.com
16,000995.KS,South Korea,Semiconductors,Technology,82 3 2680 4700,https://www.dbhitek.com
17,000990.KS,South Korea,Semiconductors,Technology,82 3 2680 4700,https://www.dbhitek.com
18,139130.KS,South Korea,Banks—Regional,Financial Services,82 5 3740 7900,https://www.dgbfg.co.kr
19,001530.KS,South Korea,Textile Manufacturing,Consumer Cyclical,82 2 2222 3071,https://www.dong-il.com
20,000215.KS,South Korea,Engineering & Construction,Industrials,82 2 2011 7114,https://www.dlenc.co.kr
21,001880.KS,South Korea,Engineering & Construction,Industrials,82 2 2170 5000,https://www.dlconstruction.co.kr
22,000210.KS,South Korea,Engineering & Construction,Industrials,82 2 2011 7114,https://www.dlenc.co.kr
23,37550K.KS,South Korea,Engineering & Construction,Industrials,82 2 2011 7114,https://www.dlenc.co.kr
24,37550L.KS,South Korea,Engineering & Construction,Industrials,82 2 2011 7114,https://www.dlenc.co.kr
25,375500.KS,South Korea,Engineering & Construction,Industrials,82 2 2011 7114,https://www.dlenc.co.kr
26,155660.KS,South Korea,Textile Manufacturing,Consumer Cyclical,82 5 1979 0500,https://www.dsrcorp.com
27,069730.KS,South Korea,Electrical Equipment & Parts,Industrials,82 2 3420 3500,https://www.dsr.com
28,017940.KS,South Korea,Oil & Gas Refining & Marketing,Energy,82 2 3441 4270,https://www.e1.co.kr
29,365550.KS,South Korea,REIT—Industrial,Real Estate,82 2 6205 0467,https://www.esrks-reit.com
30,383220.KS,South Korea,Apparel Manufacturing,Consumer Cyclical,82 5 200 001,https://www.fnf.co.kr
31,007700.KS,South Korea,Apparel Manufacturing,Consumer Cyclical,None,https://www.fnf.co.kr
32,078935.KS,South Korea,Conglomerates,Industrials,82 2 2005 1114,https://www.gs.co.kr
