,date,korea,exchange_rate,usa
0,1999-05-06,4.75,0.0,0.0
1,1999-05-07,4.75,0.0,0.0
2,1999-05-10,4.75,0.0,0.0
3,1999-05-11,4.75,0.0,0.0
4,1999-05-12,4.75,0.0,0.0
5,1999-05-13,4.75,0.0,0.0
6,1999-05-14,4.75,0.0,0.0
7,1999-05-17,4.75,0.0,0.0
8,1999-05-18,4.75,0.0,0.0
9,1999-05-19,4.75,0.0,0.0
10,1999-05-20,4.75,0.0,0.0
11,1999-05-21,4.75,0.0,0.0
12,1999-05-24,4.75,0.0,0.0
13,1999-05-25,4.75,0.0,0.0
14,1999-05-26,4.75,0.0,0.0
15,1999-05-27,4.75,0.0,0.0
16,1999-05-28,4.75,0.0,0.0
17,1999-05-31,4.75,0.0,0.0
18,1999-06-01,4.75,0.0,4.76
19,1999-06-02,4.75,0.0,4.76
20,1999-06-03,4.75,0.0,4.76
21,1999-06-04,4.75,0.0,4.76
22,1999-06-07,4.75,0.0,4.76
23,1999-06-08,4.75,0.0,4.76
24,1999-06-09,4.75,0.0,4.76
25,1999-06-10,4.75,0.0,4.76
26,1999-06-11,4.75,0.0,4.76
27,1999-06-14,4.75,0.0,4.76
28,1999-06-15,4.75,0.0,4.76
29,1999-06-16,4.75,0.0,4.76
30,1999-06-17,4.75,0.0,4.76
31,1999-06-18,4.75,0.0,4.76
32,1999-06-21,4.75,0.0,4.76
33,1999-06-22,4.75,0.0,4.76
34,1999-06-23,4.75,0.0,4.76
35,1999-06-24,4.75,0.0,4.76
36,1999-06-25,4.75,0.0,4.76
37,1999-06-28,4.75,0.0,4.76
38,1999-06-29,4.75,0.0,4.76
39,1999-06-30,4.75,0.0,4.76
40,1999-07-01,4.75,0.0,4.99
41,1999-07-02,4.75,0.0,4.99
42,1999-07-05,4.75,0.0,4.99
43,1999-07-06,4.75,0.0,4.99
44,1999-07-07,4.75,0.0,4.99
45,1999-07-08,4.75,0.0,4.99
46,1999-07-09,4.75,0.0,4.99
47,1999-07-12,4.75,0.0,4.99
48,1999-07-13,4.75,0.0,4.99
49,1999-07-14,4.75,0.0,4.99
50,1999-07-15,4.75,0.0,4.99
51,1999-07-16,4.75,0.0,4.99
52,1999-07-19,4.75,0.0,4.99
53,1999-07-20,4.75,0.0,4.99
54,1999-07-21,4.75,0.0,4.99
55,1999-07-22,4.75,0.0,4.99
56,1999-07-23,4.75,0.0,4.99
57,1999-07-26,4.75,0.0,4.99
58,1999-07-27,4.75,0.0,4.99
59,1999-07-28,4.75,0.0,4.99
60,1999-07-29,4.75,0.0,4.99
61,1999-07-30,4.75,0.0,4.99
62,1999-08-02,4.75,0.0,4.99
63,1999-08-03,4.75,0.0,4.99
64,1999-08-04,4.75,0.0,4.99
65,1999-08-05,4.75,0.0,4.99
66,1999-08-06,4.75,0.0,4.99
67,1999-08-09,4.75,0.0,4.99
68,1999-08-10,4.75,0.0,4.99
69,1999-08-11,4.75,0.0,4.99
70,1999-08-12,4.75,0.0,4.99
71,1999-08-13,4.75,0.0,4.99
72,1999-08-16,4.75,0.0,4.99
73,1999-08-17,4.75,0.0,4.99
74,1999-08-18,4.75,0.0,4.99
75,1999-08-19,4.75,0.0,4.99
76,1999-08-20,4.75,0.0,4.99
77,1999-08-23,4.75,0.0,4.99
78,1999-08-24,4.75,0.0,4.99
79,1999-08-25,4.75,0.0,4.99
80,1999-08-26,4.75,0.0,4.99
81,1999-08-27,4.75,0.0,4.99
82,1999-08-30,4.75,0.0,4.99
83,1999-08-31,4.75,0.0,4.99
84,1999-09-01,4.75,0.0,5.22
85,1999-09-02,4.75,0.0,5.22
86,1999-09-03,4.75,0.0,5.22
87,1999-09-06,4.75,0.0,5.22
88,1999-09-07,4.75,0.0,5.22
89,1999-09-08,4.75,0.0,5.22
90,1999-09-09,4.75,0.0,5.22
91,1999-09-10,4.75,0.0,5.22
92,1999-09-13,4.75,0.0,5.22
93,1999-09-14,4.75,0.0,5.22
94,1999-09-15,4.75,0.0,5.22
95,1999-09-16,4.75,0.0,5.22
96,1999-09-17,4.75,0.0,5.22
97,1999-09-20,4.75,0.0,5.22
98,1999-09-21,4.75,0.0,5.22
99,1999-09-22,4.75,0.0,5.22
100,1999-09-27,4.75,0.0,5.22
101,1999-09-28,4.75,0.0,5.22
102,1999-09-29,4.75,0.0,5.22
103,1999-09-30,4.75,0.0,5.22
104,1999-10-01,4.75,0.0,5.2
105,1999-10-04,4.75,0.0,5.2
106,1999-10-05,4.75,0.0,5.2
107,1999-10-06,4.75,0.0,5.2
108,1999-10-07,4.75,0.0,5.2
109,1999-10-08,4.75,0.0,5.2
110,1999-10-11,4.75,0.0,5.2
111,1999-10-12,4.75,0.0,5.2
112,1999-10-13,4.75,0.0,5.2
113,1999-10-14,4.75,0.0,5.2
114,1999-10-15,4.75,0.0,5.2
115,1999-10-18,4.75,0.0,5.2
116,1999-10-19,4.75,0.0,5.2
117,1999-10-20,4.75,0.0,5.2
118,1999-10-21,4.75,0.0,5.2
119,1999-10-22,4.75,0.0,5.2
120,1999-10-25,4.75,0.0,5.2
121,1999-10-26,4.75,0.0,5.2
122,1999-10-27,4.75,0.0,5.2
123,1999-10-28,4.75,0.0,5.2
124,1999-10-29,4.75,0.0,5.2
125,1999-11-01,4.75,0.0,5.42
126,1999-11-02,4.75,0.0,5.42
127,1999-11-03,4.75,0.0,5.42
