,date_time,company_code,periodType,TotalAssets,TotalCapitalization,TotalDebt,ShareIssued,NetDebt,FreeCashFlow,OperatingCashFlow,EBIT,EBITDA,TotalRevenue
0,2021-12-31,095570.KS,3M,1355044449960.0,782465752400.0,871795242250.0,46822295.0,744426068000.0,-26844375160.0,-5686381100.0,20855197730.0,,231171942220.0
1,2022-03-31,095570.KS,3M,1367232172180.0,708549396080.0,872244267880.0,46822295.0,761698738670.0,-5684873210.0,2986064680.0,19242746040.0,,295803640040.0
2,2022-06-30,095570.KS,3M,1393164448150.0,741721403910.0,894440058620.0,46822295.0,794543827100.0,-29982118890.0,-23074040020.0,20170600980.0,,284179621980.0
3,2022-09-30,095570.KS,3M,1502038348460.0,687890392270.0,970705005680.0,46822295.0,850523640550.0,-37829554660.0,-31169726470.0,20185288290.0,,345110212290.0
0,2021-12-31,006840.KS,3M,4548736656910.0,1717820369930.0,2206182083040.0,13247561.0,1690948383240.0,-29812318500.0,11322020900.0,-50170290230.0,,813056493210.0
1,2022-03-31,006840.KS,3M,4536502551940.0,1636510047060.0,2275298457060.0,13247561.0,1821678999460.0,-117620957640.0,-94900791670.0,-46391573300.0,,819839856190.0
2,2022-06-30,006840.KS,3M,4735620354540.0,1599752772430.0,2265518675970.0,13247561.0,1872696809460.0,-12916941220.0,92115019280.0,13823301490.0,,979895702990.0
3,2022-09-30,006840.KS,3M,4851450515170.0,1001061966890.0,2349286991800.0,13247561.0,931831454280.0,75741456540.0,95676975420.0,-34356005370.0,,975374761480.0
0,2021-12-31,282330.KS,3M,2596378756680.0,810411403290.0,722955096880.0,17283906.0,,61762709530.0,116327471650.0,67219227170.0,,1742951326650.0
1,2022-03-31,282330.KS,3M,2682147705580.0,783543692960.0,22752033880.0,17283906.0,,45681034560.0,113369985100.0,37711444140.0,,1692224040770.0
2,2022-06-30,282330.KS,3M,2769767897220.0,841043561190.0,18414033880.0,17283906.0,,150918770030.0,223979883320.0,70866533810.0,,1918580371480.0
3,2022-09-30,282330.KS,3M,2922018472070.0,909618146750.0,13382033880.0,17283906.0,,102646138520.0,179299327030.0,91424416760.0,,2055724628040.0
4,2022-12-31,282330.KS,3M,2946235271620.0,962627643770.0,815282532880.0,17275015.0,,53841661710.0,113775480410.0,82398454290.0,,1949240427450.0
0,2021-12-31,027410.KS,3M,1981622039250.0,1582813165370.0,61261739770.0,95716791.0,,-4431104080.0,322496550.0,8022900970.0,,58086221780.0
1,2022-03-31,027410.KS,3M,1953185717510.0,1565855494530.0,21746146490.0,95716791.0,,-14148831280.0,-9759188040.0,1268970790.0,,120062793460.0
2,2022-06-30,027410.KS,3M,1934380856160.0,1582112255710.0,21426121430.0,95716791.0,,-20070028210.0,1389496450.0,15330480140.0,,111139336490.0
3,2022-09-30,027410.KS,3M,1948015455170.0,1616159526050.0,16359157580.0,95716791.0,,2746877290.0,5095449090.0,22053935260.0,,114049801700.0
0,2021-12-31,138930.KS,3M,128287034114030.0,29389817104410.0,20094495490000.0,325935246.0,14714843824190.0,306838190930.0,370543863500.0,,,543354627950.0
1,2022-03-31,138930.KS,3M,132682640710770.0,30110972096970.0,20779390522000.0,325935246.0,15759220195990.0,-1356625674940.0,-1333489397050.0,,,917635321260.0
2,2022-06-30,138930.KS,3M,135303503646420.0,31474977923870.0,21953585835000.0,325935246.0,17068106180080.0,-798704803640.0,-767962742640.0,,,1007741858670.0
3,2022-09-30,138930.KS,3M,136870428623340.0,31202499794630.0,21411547287980.0,325935246.0,16067711071900.0,2355480463620.0,2394859229450.0,,,881862327040.0
