종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","1985","-105","-5.02","96345234370"
"054620","APS홀딩스","KOSDAQ","금융","11780","-800","-6.36","240243923380"
"265520","AP시스템","KOSDAQ","반도체","19000","-910","-4.57","290346999000"
"211270","AP위성","KOSDAQ","통신장비","16800","-1150","-6.41","253382707200"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","5200","-440","-7.80","153586648800"
"013720","CBI","KOSDAQ","운송장비·부품","274","-13","-4.53","75100847690"
"035760","CJ ENM","KOSDAQ","방송서비스","84500","-1600","-1.86","1853013513000"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","26050","-1450","-5.27","153139405600"
"051500","CJ프레시웨이","KOSDAQ","유통","29100","-850","-2.84","345463152600"
"058820","CMG제약","KOSDAQ","제약","2010","-80","-3.83","279173410440"
"023460","CNH","KOSDAQ","금융","2220","0","0.00","82584000000"
"056730","CNT85","KOSDAQ","건설","3100","0","0.00","110821763600"
"065770","CS","KOSDAQ","통신장비","1515","-45","-2.88","29407861950"
"083660","CSA 코스믹","KOSDAQ","화학","805","6","0.75","31758210365"
"404950","DB금융스팩10호","KOSDAQ","금융","2065","15","0.73","12059600000"
"367340","DB금융스팩8호","KOSDAQ","금융","2060","5","0.24","12463000000"
"367360","DB금융스팩9호","KOSDAQ","금융","2080","0","0.00","10067200000"
"025440","DH오토웨어","KOSDAQ","일반전기전자","592","-8","-1.33","84360000000"
"068790","DMS","KOSDAQ","기계·장비","5920","-450","-7.06","145472521120"
"241520","DSC인베스트먼트","KOSDAQ","금융","3940","-230","-5.52","109576927820"
"180400","DXVX","KOSDAQ","기타서비스","7740","0","0.00","222082929900"
"245620","EDGC","KOSDAQ","기타서비스","1348","-113","-7.73","113334354988"
"037370","EG","KOSDAQ","건설","11330","1760","18.39","97720932760"
"050120","ES큐브","KOSDAQ","유통","3995","-235","-5.56","54188523570"
"214270","FSN","KOSDAQ","출판·매체복제","4125","-220","-5.06","137158159875"
"130500","GH신소재","KOSDAQ","섬유·의류","3480","-190","-5.18","50616780960"
"900290","GRT","KOSDAQ","금융","2745","-35","-1.26","184944375000"
"083450","GST","KOSDAQ","반도체","20600","-1150","-5.29","191945547000"
"297890","HB솔루션","KOSDAQ","기계·장비","13100","-910","-6.50","219033218300"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1851","-49","-2.58","146211278526"
"195940","HK이노엔","KOSDAQ","제약","35300","-1600","-4.34","1000045152300"
"028300","HLB","KOSDAQ","제약","33500","-2100","-5.90","3935314311500"
"067630","HLB생명과학","KOSDAQ","기타서비스","10550","-480","-4.35","1020404081300"
"047920","HLB제약","KOSDAQ","기타서비스","13200","-1050","-7.37","367899180000"
"115450","HLB테라퓨틱스","KOSDAQ","유통","11150","-540","-4.62","389259857700"
"403870","HPSP","KOSDAQ","반도체","59000","-3100","-4.99","1197095250000"
"036640","HRS","KOSDAQ","화학","5140","-50","-0.96","84063672000"
"405350","IBKS제17호스팩","KOSDAQ","금융","2285","25","1.11","6215200000"
"424760","IBKS제18호스팩","KOSDAQ","금융","2900","-90","-3.01","12267000000"
"426550","IBKS제19호스팩","KOSDAQ","금융","2155","-25","-1.15","10947400000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2175","0","0.00","9374250000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2150","0","0.00","9051500000"
"095340","ISC","KOSDAQ","반도체","32150","-1250","-3.74","559392992650"
"099520","ITX-AI","KOSDAQ","통신장비","2570","0","0.00","63350158190"
"950170","JTC","KOSDAQ","유통","4145","95","2.35","207635584480"
"067290","JW신약","KOSDAQ","제약","2960","-115","-3.74","143344443920"
"035900","JYP Ent.","KOSDAQ","오락·문화","71500","400","0.56","2538070678000"
"318000","KBG","KOSDAQ","화학","10040","1930","23.80","82627443000"
"024840","KBI메탈","KOSDAQ","금속","1396","-74","-5.03","45999383808"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3990","-310","-7.21","45885000000"
"021320","KCC건설","KOSDAQ","건설","5720","-210","-3.54","122408000000"
"036670","KCI","KOSDAQ","화학","9100","-180","-1.94","102557000000"
"044180","KD","KOSDAQ","건설","661","-39","-5.57","16424951701"
"151860","KG ETS","KOSDAQ","기타서비스","17020","150","0.89","612720000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","6490","-710","-9.86","251977936320"
"035600","KG이니시스","KOSDAQ","소프트웨어","12640","-740","-5.53","352712045760"
"226360","KH 건설","KOSDAQ","건설","315","-22","-6.53","38940467265"
"111870","KH 전자","KOSDAQ","일반전기전자","206","-17","-7.62","32951723332"
"060720","KH바텍","KOSDAQ","IT부품","15000","-990","-6.19","355161630000"
"058400","KNN","KOSDAQ","방송서비스","901","-34","-3.64","119319177720"
"114450","KPX생명과학","KOSDAQ","제약","4060","-190","-4.47","60900000000"
"060370","KT서브마린","KOSDAQ","건설","6150","-80","-1.28","159520126800"
"122450","KX","KOSDAQ","방송서비스","5540","-50","-0.89","251161240560"
"052900","KX하이텍","KOSDAQ","반도체","1250","-70","-5.30","68884396250"
"086960","MDS테크","KOSDAQ","소프트웨어","2970","-10","-0.34","246292881120"
