종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","5010","-180","-3.47","234579697950"
"006840","AK홀딩스","KOSPI","기타금융","15450","-790","-4.86","204674817450"
"027410","BGF","KOSPI","기타금융","4175","-195","-4.46","399617602425"
"282330","BGF리테일","KOSPI","유통업","179300","-600","-0.33","3099004345800"
"138930","BNK금융지주","KOSPI","기타금융","6210","-260","-4.02","2024057877660"
"001460","BYC","KOSPI","섬유의복","473500","-8500","-1.76","295755202500"
"001465","BYC우","KOSPI","섬유의복","159400","-3100","-1.91","34332369000"
"001040","CJ","KOSPI","기타금융","93300","-600","-0.64","2722213913400"
"079160","CJ CGV","KOSPI","서비스업","15590","-710","-4.36","744028992810"
"00104K","CJ4우(전환)","KOSPI","기타금융","78200","-800","-1.01","330513238400"
"000120","CJ대한통운","KOSPI","운수창고업","77800","-1200","-1.52","1774800363200"
"011150","CJ씨푸드","KOSPI","음식료품","3075","-165","-5.09","110487126975"
"011155","CJ씨푸드1우","KOSPI","음식료품","24750","-600","-2.37","4950000000"
"001045","CJ우","KOSPI","기타금융","50200","-500","-0.99","113463194600"
"097950","CJ제일제당","KOSPI","음식료품","305000","-4500","-1.45","4591526730000"
"097955","CJ제일제당 우","KOSPI","음식료품","150300","-2700","-1.76","199513179900"
"000590","CS홀딩스","KOSPI","기타금융","61900","-1200","-1.90","71462435800"
"012030","DB","KOSPI","서비스업","1450","9","0.62","291702202850"
"016610","DB금융투자","KOSPI","증권","4000","-115","-2.79","169785556000"
"005830","DB손해보험","KOSPI","보험","74500","-2600","-3.37","5274600000000"
"000990","DB하이텍","KOSPI","전기전자","45150","-1450","-3.11","2004596248200"
"000995","DB하이텍1우","KOSPI","전기전자","93100","-900","-0.96","10456619600"
"139130","DGB금융지주","KOSPI","기타금융","7170","-370","-4.91","1212775622610"
"001530","DI동일","KOSPI","유통업","24200","50","0.21","618752134000"
"000210","DL","KOSPI","기타금융","52700","-2100","-3.83","1104375086800"
"001880","DL건설","KOSPI","건설업","14010","-360","-2.51","308966508840"
"000215","DL우","KOSPI","기타금융","30800","-750","-2.38","51932342000"
"375500","DL이앤씨","KOSPI","건설업","31800","-900","-2.75","1230457211400"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","22500","-600","-2.60","47518897500"
"37550K","DL이앤씨우","KOSPI","건설업","19870","-480","-2.36","42002894950"
"007340","DN오토모티브","KOSPI","전기전자","70600","-3700","-4.98","705576753000"
"004840","DRB동일","KOSPI","화학","4560","-90","-1.94","90880800000"
"155660","DSR","KOSPI","철강금속","5320","-240","-4.32","85120000000"
