Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$150.47,1.97,1.327%,2608749549800.00,United States,1980,84396527,Technology,Computer Manufacturing
ABNB,Airbnb Inc. Class A Common Stock,$115.96,-2.34,-1.978%,69158428852.00,United States,2020,5280004,Consumer Discretionary,Hotels/Resorts
ACGL,Arch Capital Group Ltd. Common Stock,$65.18,-1.43,-2.147%,24139152084.00,Bermuda,,3559147,Finance,Property-Casualty Insurers
ADBE,Adobe Inc. Common Stock,$324.27,-5.03,-1.527%,148450806000.00,United States,1986,4202204,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$182.55,0.79,0.435%,92343373692.00,United States,,3310207,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$213.55,-0.01,-0.005%,88484771794.00,United States,,2236245,Consumer Discretionary,Business Services
ADSK,Autodesk Inc. Common Stock,$197.87,3.85,1.984%,42693914038.00,United States,,1905444,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$89.38,1.85,2.114%,45929135540.00,United States,,4420654,Utilities,Electric Utilities: Central
AKAM,Akamai Technologies Inc. Common Stock,$70.75,-1.21,-1.681%,11037000000.00,United States,1999,2408191,Consumer Discretionary,Business Services
ALGN,Align Technology Inc. Common Stock,$315.41,2.62,0.838%,24381193000.00,United States,2001,987057,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$184.86,2.20,1.204%,22742999337.00,United States,2004,1200233,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,$115.84,1.45,1.268%,97662180194.00,United States,1972,8221276,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$82.01,-0.66,-0.798%,133460201600.00,United States,,65231535,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$233.18,5.31,2.33%,124512579177.00,United States,1983,3145465,Health Care,Biotechnology: Pharmaceutical Preparations
AMZN,Amazon.com Inc. Common Stock,$92.43,1.70,1.874%,940649776326.00,United States,1997,72329348,Consumer Discretionary,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,$302.75,6.72,2.27%,26373229146.00,United States,1996,798137,Technology,Computer Software: Prepackaged Software
APA,APA Corporation Common Stock,$34.52,-1.43,-3.978%,11098587371.00,United States,,8908861,Energy,Oil & Gas Production
ARGX,argenx SE American Depositary Shares,$352.64,11.34,3.323%,19565644665.00,Netherlands,2017,448808,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASML,ASML Holding N.V. New York Registry Shares,$604.78,3.57,0.594%,238639895264.00,Netherlands,1995,966983,Technology,Industrial Machinery/Components
ATVI,Activision Blizzard Inc. Common Stock,$78.14,0.17,0.218%,61154342427.00,United States,,5732809,Consumer Discretionary,Recreational Games/Products/Toys
AVGO,Broadcom Inc. Common Stock,$616.47,1.64,0.267%,257020931146.00,United States,2009,2236354,Technology,Semiconductors
AXON,Axon Enterprise Inc. Common Stock,$211.00,-2.00,-0.939%,15015889694.00,United States,2001,714050,Consumer Discretionary,Military/Government/Technical
AZN,AstraZeneca PLC American Depositary Shares,$65.18,0.99,1.542%,202034329492.00,United Kingdom,,8166711,Health Care,Biotechnology: Pharmaceutical Preparations
AZPN,Aspen Technology Inc. Common Stock,$213.69,-0.43,-0.201%,13840973114.00,United States,,228349,Technology,EDP Services
BGNE,BeiGene Ltd. American Depositary Shares,$222.23,5.99,2.77%,23141507702.00,Cayman Islands,2016,196170,Health Care,Biotechnology: Pharmaceutical Preparations
BIDU,Baidu Inc. ADS,$133.65,1.23,0.929%,46182826062.00,China,2005,2430822,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,$258.55,1.99,0.776%,37356763773.00,United States,,1027344,Health Care,Biotechnology: Pharmaceutical Preparations
BKNG,Booking Holdings Inc. Common Stock,$2438.89,-41.60,-1.677%,94603050499.00,United States,,418212,Consumer Discretionary,Other Consumer Services
BKR,Baker Hughes Company Class A Common Stock,$28.14,-0.93,-3.199%,28455666219.00,United States,,8660669,Energy,Oilfield Services/Equipment
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$90.02,-0.47,-0.519%,16730119328.00,United States,1999,1956749,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$129.77,2.32,1.82%,31493284488.00,Germany,2019,514114,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BRKR,Bruker Corporation Common Stock,$72.15,0.05,0.069%,10612018537.00,United States,,856842,Industrials,Biotechnology: Laboratory Analytical Instruments
BSY,Bentley Systems Incorporated Class B Common Stock,$38.92,0.64,1.672%,11224244390.00,United States,2020,911638,Technology,Retail: Computer Software & Peripheral Equipment
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$55.20,1.15,2.128%,25232686618.00,United Kingdom,,2416934,Consumer Staples,Beverages (Production/Distribution)
CDNS,Cadence Design Systems Inc. Common Stock,$196.27,0.60,0.307%,53569933800.00,United States,,2309827,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$188.42,-2.05,-1.076%,25510368828.00,United States,2013,729584,Consumer Discretionary,Catalog/Specialty Distribution
CEG,Constellation Energy Corporation Common Stock ,$77.10,-0.45,-0.58%,25221806422.00,United States,,2242427,Utilities,Power Generation
CG,The Carlyle Group Inc. Common Stock,$30.09,-0.17,-0.562%,10959350131.00,United States,2012,8390694,Finance,Investment Managers
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$123.78,-1.25,-1.00%,15523413561.00,Israel,1996,1044997,Technology,Computer Software: Prepackaged Software
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$101.29,-1.03,-1.007%,11801341252.00,United States,1997,984850,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$335.26,5.77,1.751%,68694498081.00,United States,,1454336,Consumer Discretionary,Telecommunications Equipment
CINF,Cincinnati Financial Corporation Common Stock,$108.76,-3.81,-3.385%,17086196000.00,United States,,1574985,Finance,Property-Casualty Insurers
