순번,주제,용어,설명
11,과학,4차 산업혁명(Fourth Industrial Revolution),"4차 산업혁명은 물리세계, 디지털세계, 그리고 생물 세계가 융합되어 경제와 사회의 모든 영역에 영향을 미치게 하는 새로운 산업시대를 말한다. 1차 산업혁명의 기계화, 2차 산업혁명의 대량생산화, 3차 산업혁명의 정보화에 이은 4차 산업혁명은 물리사물인터넷(IoT), 로봇공학, 가상현실(VR) 및 인공지능(AI)과 같은 혁신적인 기술이 우리가 살고 일하는 방식을 변화시키는 현재 및 미래를 의미한다. 디지털 혁명(Digital Revolution)이라고 하는 3차 산업혁명이 일으킨 컴퓨터와 정보기술(IT)의 발전이 계속 이루어지고 있는 형태이지만 발전의 폭발성과 파괴성 때문에 3차 산업혁명이 계속된다고 하기보다 새로운 시대로 여겨진다. 독일에서는 산업4.0(Industry 4.0)이라고 명명하기도 한다."
39,금융,CAMEL지수(카멜지수),"카멜지수는 자본적정성(Capital Adequacy), 자산건전성(Asset Quality), 경영능력(Management), 수익성(Earnings), 유동성(Liquidity) 이렇게 5가지 항목의 앞글자를 따서 만든 지수다. 은행검사시스템으로 은행의 건전성, 경영실태를 평가하는데 사용된다. 미국의 FRB, FDIC 등 연방은행감독기관이 1978년부터 실시해왔다. ※카엘(CAEL)지수: 카멜지수의 간이계량평가지표. 카멜지수에서 경영능력을 뺀 나머지 네 항목으로 구성되어 있다."
41,금융,CAPM,"자본자산 가격결정 모형(Capital Asset Pricing Model)의 약자로 주식이나 채권 등의 자본자산들의 기대수익률과 위험과의 관계를 도출해내는 모형이다. 즉, 투자자들이 투자활동을 해서 시장이 균형상태에 있을 때, 주식이나 채권 등의 자본자산의 균형가격이 어떻게 결정되는지를 설명해주는 모형이라 할 수 있다."
47,금융,CD금리,"CD(Certificate of Deposit)란 시장에서 양도가 가능한 정기예금증서를 말한다. 은행은 자금조달을 위해 CD를 발행하고 투자자는 투자의 목적으로 정기예금증서의 하나인 CD를 매입하게 된다. 여타 정기예금증서와 달리 투자자는 매입한 CD를 만기 전에 다른 투자자에게 팔 수 있다. 한국수출입은행을 제외한 모든 은행, 즉 한국은행에 예금지급준비금을 예치할 의무가 있는 시중은행, 지방은행, 특수은행, 외국계 은행지점 등이 CD를 발행하여 자금을 조달할 수 있다. 만기는 30일 이상이며 주로 91일(3개월물)이나 181일(6개월물) 금리가 대표적이다. CD는 매매를 위해 은행의 승인을 받지 않아도 되며 특별한 매매절차도 없다. 따라서 단기간에 정기예금 수준의 이자를 받으면서도 필요 시 매매를 통해 현금화할 수 있다. 다만 CD는 예금자보호법의 적용을 받지 않는다는 단점을 가지고 있다. CD는 만기까지의 이자를 할인해서 발행하기 때문에 고객은 할인액을 차감한 금액으로 CD를 사고 만기에는 액면금액을 받게 된다. CD의 가격이 하락한다는 것은 만기에 동일한 액면금액을 받기 위해 이전보다 더 낮은 가격으로 살 수 있다는 것을 의미하며, 이는 CD 금리 또는 수익률이 상승한다는 것과 마찬가지이다. 한편 우리나라 은행들의 경우 변동금리형 주택담보대출에 적용하는 금리를 ‘CD 금리+R’의 형태로 정하고 있는 경우가 많다. 따라서 CD 금리의 변화는 변동금리형 주택담보대출에 영향을 미친다. 만일 CD 금리가 상승할 경우, 주택담보대출금리도 동반 상승하여 변동금리로 은행에서 돈을 빌린 사람들의 이자 부담이 높아진다."
48,경영,CEO,"Chief Executive Officer의 줄임말로 최고경영책임자를 뜻한다. 기업이나 정부 부처 등의 임원 중 가장 높은 위치에서 총체적인 경영을 책임지는 사람이다. 기업의 최고경영자로 기업의 경영진을 구성하며, 진행될 사업의 전략을 수립하기도 한다. "
50,경영,CFO,"Chief Finance Officer의 줄임말로 재무담당 최고책임자를 뜻한다. 기업의 경리, 자금, 예산편성 등 기업 전반에 걸친 기획 및 재무영역 조직을 하나로 통합하여 총괄한다. 일반적으로는 자금담당부사장으로 불린다."
67,경영,Cash Flow(현금흐름),"기업활동(영업, 투자, 재무활동 등)을 통해 나타나는 현금의 유입과 유출을 통틀어 현금흐름(cash flow)이라 한다. 기업의 현금흐름이 좋지 않으면 이익이 난다고 하더라도 부도가 날 확률이 높아지므로 현금흐름은 기업의 가치를 재는데 사용하기도 한다. 현금흐름 중 현금의 유입을 캐쉬 인플로우(cash-inflow), 현금의 유출을 캐쉬 아웃플로우(cash-outflow)라 한다."
79,금융,DLS(파생결합증권),"	DLS(Derivative Linked Securities)는 유가증권과 파생금융계약이 결합된 증권으로 기초자산의 가치변동과 연계한 증권이다. 이때 기초자산은 원유, 금, 설탕, 밀가루 같은 각종 원자재와 농산물뿐 아니라 금리, 환율, 탄소배출권, 신용 등 다양하다.	"
81,금융,Detal(델타),"‘델타’는 기초자산 가격의 $1 변화에 대한 옵션 가격 변화율을 말한다. 다르게 말하면, 기초자산에 대한 옵션 가격의 민감도를 측정하는 단위이다. 콜옵션에 대한 델타값은 0부터 1 사이이지만, 풋옵션에 대한 델타값은 0과 -1 사이에 위치한다. 예를 들어 어떤 투자자가 델타값이 0.5인 콜옵션을 구매하였다고 가정한다면, 이 옵션의 기초자산 가격이 $1 상승했을 때 옵션의 가격은 50센트 오른다고 이론적으로 설명할 수 있다. "
84,금융,ELF(주가연계펀드),"주가연동상품은 상품의 설계와 운용의 주체에 따라 ELS, ELF(Equity Linked Fund) 등으로 다양하게 불리고 있다. ELF는 투자한 원금과 수익이 주가지수나 개별 종목의 주가에 의해 연동되는 투자신탁상품이다. 쉽게 말해 ELS(주가연계증권)에 투자하는 펀드상품으로 이해할 수 있다. 즉 속은 ELS이고 겉은 펀드인 셈으로, 국공채 등의 유가증권에 투자한 ELS에 투자하는 상품이 ELF가 되는 것이다. ELF의 수익이나 목표달성 조건은 투자대상 ELS의 조건을 따라가게 된다. 차이점은 ELS가 투자매매업자 상품인 데 반해 ELF는 집합투자업자 상품으로 은행에서도 판매된다는 점과 펀드이기 때문에 주식매매차익이 비과세 된다는 것이다. 하지만 ELF는 투자금의 대부분을 ELS(과세대상)로 운용하기 때문에 실제 주식매매차익의 비과세 효과는 거의 미미한 수준이다. 결국 ELF는 ELS와 유사한 상품이다. ELF 가입 시 주의할 점은 원금보존 추구형이라고 하더라도 원금보존을 추구하여 운영할 뿐 실제 운용과정에서 손실이 발생할 경우 원금 보장이 되지 않을 수 있다는 점이다."
